iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand
PAK,Pakistan,2019-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6
PAK,Pakistan,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6
PAK,Pakistan,2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6
PAK,Pakistan,2020-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6
PAK,Pakistan,2020-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6
PAK,Pakistan,2020-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6
PAK,Pakistan,2020-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6
PAK,Pakistan,2020-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6
PAK,Pakistan,2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6
PAK,Pakistan,2020-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6
